id,name,kind,seasons,temp,humidity,stage_minutes,fertility_consumption,best_fertilizers,target_fertility,base_price,seed_price,seed_item_id,fruit_item_id,seed_icon,fruit_icon,stage_icons
longan,龙眼,水果,"[""summer""]","[25.0, 32.0]","[65.0, 80.0]","[1.0, 2.0, 2.0]",1.6,"[""compost"", ""npk_15"", ""potassium_sulfate""]",70.0,3,12,seed_longan,fruit_longan,seed_longan,fruit_longan,"[""longan-01"", ""longan-02"", ""longan-03""]"
lemon,柠檬,水果,"[""spring"", ""summer""]","[18.0, 28.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.5,"[""compost"", ""npk_15"", ""potassium_sulfate""]",68.0,3,10,seed_lemon,fruit_lemon,seed_lemon,fruit_lemon,"[""lemon-01"", ""lemon-02"", ""lemon-03""]"
mango,芒果,水果,"[""summer""]","[25.0, 32.0]","[60.0, 85.0]","[1.0, 2.0, 2.0]",1.7,"[""chicken_manure"", ""npk_15"", ""potassium_compound""]",70.0,3,13,seed_mango,fruit_mango,seed_mango,fruit_mango,"[""mango-01"", ""mango-02"", ""mango-03""]"
peach,桃子,水果,"[""spring""]","[15.0, 25.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.5,"[""compost"", ""super_phosphate"", ""potassium_compound""]",68.0,3,10,seed_peach,fruit_peach,seed_peach,fruit_peach,"[""peach-01"", ""peach-02"", ""peach-03""]"
carambola,杨桃,水果,"[""summer"", ""autumn""]","[20.0, 32.0]","[60.0, 80.0]","[1.0, 2.0, 2.0]",1.5,"[""compost"", ""npk_15"", ""potassium_sulfate""]",68.0,3,10,seed_carambola,fruit_carambola,seed_carambola,fruit_carambola,"[""carambola-01"", ""carambola-02"", ""carambola-03""]"
kiwi,猕猴桃,水果,"[""autumn""]","[15.0, 22.0]","[65.0, 85.0]","[1.0, 2.0, 2.0]",1.7,"[""compost"", ""npk_15"", ""potassium_compound""]",68.0,3,14,seed_kiwi,fruit_kiwi,seed_kiwi,fruit_kiwi,"[""kiwi-01"", ""kiwi-02"", ""kiwi-03""]"
watermelon,西瓜,水果,"[""summer""]","[25.0, 32.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.6,"[""urea"", ""phosphate_fertilizer"", ""potassium_sulfate""]",70.0,3,14,seed_watermelon,fruit_watermelon,seed_watermelon,fruit_watermelon,"[""watermelon-01"", ""watermelon-02"", ""watermelon-03""]"
grape,葡萄,水果,"[""summer"", ""autumn""]","[20.0, 28.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.5,"[""chicken_manure"", ""npk_15"", ""potassium_compound""]",68.0,3,9,seed_grape,fruit_grape,seed_grape,fruit_grape,"[""grape-01"", ""grape-02"", ""grape-03""]"
orange,橙子,水果,"[""autumn"", ""winter""]","[18.0, 30.0]","[55.0, 80.0]","[1.0, 2.0, 2.0]",1.6,"[""compost"", ""npk_15"", ""potassium_sulfate""]",68.0,3,11,seed_orange,fruit_orange,seed_orange,fruit_orange,"[""orange-01"", ""orange-02"", ""orange-03""]"
pitaya,火龙果,水果,"[""summer""]","[25.0, 32.0]","[50.0, 70.0]","[1.0, 2.0, 2.0]",1.7,"[""chicken_manure"", ""npk_15"", ""potassium_compound""]",68.0,3,14,seed_pitaya,fruit_pitaya,seed_pitaya,fruit_pitaya,"[""pitaya-01"", ""pitaya-02"", ""pitaya-03""]"
strawberry,草莓,水果,"[""spring"", ""winter""]","[12.0, 22.0]","[60.0, 85.0]","[1.0, 2.0, 2.0]",1.4,"[""urea"", ""water_soluble"", ""potassium_compound""]",68.0,3,14,seed_strawberry,fruit_strawberry,seed_strawberry,fruit_strawberry,"[""strawberry-01"", ""strawberry-02"", ""strawberry-03""]"
sunflower,向日葵,作物,"[""summer""]","[18.0, 28.0]","[40.0, 60.0]","[1.0, 2.0, 2.0]",1.4,"[""urea"", ""npk_15"", ""potassium_sulfate""]",65.0,2,7,seed_sunflower,fruit_sunflower,seed_sunflower,fruit_sunflower,"[""sunflower-01"", ""sunflower-02"", ""sunflower-03""]"
pumpkin,南瓜,蔬菜,"[""summer"", ""autumn""]","[20.0, 30.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.6,"[""chicken_manure"", ""npk_15"", ""potassium_compound""]",70.0,3,11,seed_pumpkin,fruit_pumpkin,seed_pumpkin,fruit_pumpkin,"[""pumpkin-01"", ""pumpkin-02"", ""pumpkin-03""]"
lettuce,生菜,蔬菜,"[""spring"", ""autumn""]","[10.0, 20.0]","[60.0, 85.0]","[1.0, 2.0, 2.0]",1.3,"[""urea"", ""npk_15"", ""water_soluble""]",70.0,2,7,seed_lettuce,fruit_lettuce,seed_lettuce,fruit_lettuce,"[""lettuce-01"", ""lettuce-02"", ""lettuce-03""]"
eggplant,茄子,蔬菜,"[""summer""]","[22.0, 32.0]","[60.0, 80.0]","[1.0, 2.0, 2.0]",1.5,"[""chicken_manure"", ""npk_15"", ""potassium_compound""]",70.0,3,9,seed_eggplant,fruit_eggplant,seed_eggplant,fruit_eggplant,"[""eggplant-01"", ""eggplant-02"", ""eggplant-03""]"
pea,豌豆,蔬菜,"[""spring"", ""autumn""]","[15.0, 22.0]","[50.0, 70.0]","[1.0, 2.0, 2.0]",1.4,"[""super_phosphate"", ""super_phosphate"", ""phosphate_fertilizer""]",65.0,2,7,seed_pea,fruit_pea,seed_pea,fruit_pea,"[""pea-01"", ""pea-02"", ""pea-03""]"
shallot,小葱,蔬菜,"[""spring"", ""summer"", ""autumn"", ""winter""]","[15.0, 25.0]","[55.0, 75.0]","[1.0, 2.0, 2.0]",1.2,"[""urea"", ""nitrogen_compound"", ""water_soluble""]",70.0,2,6,seed_shallot,fruit_shallot,seed_shallot,fruit_shallot,"[""shallot-01"", ""shallot-02"", ""shallot-03""]"
maize,玉米,蔬菜,"[""summer""]","[20.0, 30.0]","[50.0, 70.0]","[1.0, 2.0, 2.0]",1.4,"[""urea"", ""npk_15"", ""potassium_sulfate""]",70.0,2,7,seed_maize,fruit_maize,seed_maize,fruit_maize,"[""maize-01"", ""maize-02"", ""maize-03""]"
