ID,中文,类型,季节,温度,湿度,S1天数,"S1(N,P,K)",S1肥料,S2天数,"S2(N,P,K)",S2肥料,S3天数,"S3(N,P,K)",S3肥料,产量,售价
longan,龙眼,水果,夏,"(25,32)","(65,80)",40,"(2,2,1)",腐熟农家肥,50,"(2,3,2)",复合肥15-15-15,30,"(1,4,3)",高钾肥,10,18
lemon,柠檬,水果,春夏,"(18,28)","(55,75)",30,"(2,1,1)",堆肥,35,"(2,2,2)",平衡复合肥,25,"(1,3,3)",硫酸钾,10,15
mango,芒果,水果,夏,"(25,35)","(60,85)",50,"(3,1,1)",鸡粪肥,60,"(2,3,3)",复合肥,40,"(1,4,4)",高磷钾肥,10,25
peach,桃子,水果,春,"(15,25)","(55,75)",35,"(2,2,1)",腐熟农家肥,40,"(2,3,2)",磷肥,25,"(1,4,3)",高钾肥,10,22
carambola,杨桃,水果,夏秋,"(20,32)","(60,80)",40,"(2,2,1)",堆肥,45,"(2,3,2)",复合肥,25,"(1,4,3)",钾肥,10,20
kiwi,猕猴桃,水果,秋,"(15,22)","(65,85)",45,"(2,2,2)",腐叶土,55,"(2,3,3)",复合肥,30,"(1,4,4)",高钾肥,10,28
watermelon,西瓜,水果,夏,"(25,32)","(55,75)",20,"(3,1,2)",尿素,30,"(2,3,3)",高磷肥,20,"(1,4,5)",硫酸钾,10,35
grape,葡萄,水果,夏秋,"(20,28)","(55,75)",40,"(2,2,1)",鸡粪肥,50,"(2,3,3)",复合肥,30,"(1,4,4)",高钾肥,10,12
orange,橙子,水果,秋冬,"(18,30)","(55,80)",45,"(2,2,1)",堆肥,60,"(2,3,3)",复合肥,35,"(1,4,4)",钾肥,10,18
pitaya,火龙果,水果,夏,"(25,35)","(50,70)",60,"(2,1,2)",鸡粪肥,70,"(2,3,4)",复合肥,50,"(1,4,5)",高钾肥,10,30
strawberry,草莓,水果,春冬,"(12,22)","(60,85)",15,"(3,1,1)",尿素,20,"(2,2,2)",复合肥,10,"(1,3,3)",高钾肥,10,10
sunflower,向日葵,作物,夏,"(18,28)","(40,60)",20,"(2,1,1)",氮肥,25,"(2,2,2)",复合肥,15,"(1,3,3)",钾肥,10,8
pumpkin,南瓜,蔬菜,夏秋,"(20,30)","(55,75)",25,"(3,1,2)",腐熟鸡粪肥,35,"(2,3,3)",复合肥15-15-15,30,"(1,4,4)",高钾复合肥,10,25
lettuce,生菜,蔬菜,春秋,"(10,20)","(60,85)",8,"(3,1,1)",尿素,10,"(3,2,1)",平衡复合肥,7,"(2,2,2)",水溶肥,10,8
eggplant,茄子,蔬菜,夏,"(22,32)","(60,80)",25,"(3,1,2)",鸡粪肥,35,"(2,3,3)",复合肥15-15-15,20,"(1,4,4)",硫酸钾,10,15
pea,豌豆,蔬菜,春秋,"(15,22)","(50,70)",15,"(1,2,1)",腐熟农家肥,25,"(1,3,2)",磷肥,20,"(1,4,3)",高磷钾肥,10,12
shallot,小葱,蔬菜,全年,"(15,25)","(55,75)",10,"(3,1,1)",尿素,15,"(3,2,1)",氮磷复合肥,10,"(2,2,2)",有机肥,10,6
maize,玉米,蔬菜,夏,"(20,30)","(50,70)",20,"(4,1,2)",尿素,30,"(3,2,3)",复合肥15-15-15,25,"(1,3,4)",硫酸钾,10,15
kangkong,空心菜,蔬菜,夏,"(25,35)","(70,90)",5,"(4,1,1)",尿素,8,"(3,2,2)",水溶肥,7,"(2,3,3)",有机肥,10,6
carrot,胡萝卜,蔬菜,春秋,"(15,22)","(50,70)",20,"(1,2,2)",磷肥,30,"(1,3,3)",复合肥15-15-15,20,"(1,4,4)",高钾肥,10,12
garlic,大蒜,蔬菜,秋冬,"(10,20)","(50,70)",30,"(2,2,1)",有机肥,50,"(2,3,3)",复合肥,40,"(1,4,4)",硫酸钾,10,10
cabbage,卷心菜,蔬菜,秋冬,"(12,22)","(60,80)",20,"(3,1,1)",鸡粪肥,30,"(3,2,2)",复合肥15-15-15,20,"(2,3,3)",钙肥+钾肥,10,15
pepper,辣椒,蔬菜,夏,"(22,32)","(55,75)",25,"(3,1,2)",鸡粪肥,35,"(2,3,3)",高磷复合肥,30,"(1,4,5)",高钾肥,10,18
tomato,西红柿,蔬菜,夏,"(20,30)","(60,80)",20,"(3,1,2)",鸡粪肥,35,"(2,3,3)",复合肥15-15-15,25,"(1,4,4)",高钾肥+钙肥,10,15
