ID,名称,类型,肥力,持续分钟,每分钟释放,土壤健康,价格,说明
urea,尿素,无机,5,30,0,0,1,快速补氮，促进叶片和茎生长，适合生菜、空心菜、小葱等叶菜
nitrogen_compound,氮磷复合肥,无机,6,30,0,0,2,同时提供氮磷，适合番茄、辣椒苗期
super_phosphate,过磷酸钙,无机,5,30,0,0,1,促进根系和花芽形成
phosphate_fertilizer,高磷肥,无机,6,30,0,0,2,促进开花，提高结果概率
potassium_sulfate,硫酸钾,无机,6,30,0,0,2,促进果实膨大，提高甜度和品质
potassium_compound,高钾复合肥,无机,8,30,0,0,3,果实类作物后期最佳肥料
npk_15,复合肥15-15-15,无机,6,30,0,0,2,最通用肥料，一次施用覆盖完整周期
water_soluble,水溶肥,无机,7,30,0,0,2,快速吸收，适合大棚和紧急补肥
calcium_fertilizer,硝酸钙,无机,4,30,0,0,1,减少裂果，提高果实质量
compost,堆肥,有机,5,5,1,1,1,最稳定基础肥，提高土地肥力
chicken_manure,鸡粪肥,有机,6,4,1.5,1,2,氮含量高，促进植株快速生长，适合瓜果类前期
slow_release,缓释有机肥,有机,8,8,1,2,3,一次施肥覆盖完整成长周期
