ID,肥料名称,类型,"第一天(N,P,K)","最后一天(N,P,K)",持续天数,价格,效果说明
urea,尿素,无机,"(50,0,0)","(5,0,0)",7,30,快速补氮，促进叶片和茎生长，适合生菜、空心菜、小葱等叶菜
ammonium_bicarbonate,碳酸氢铵,无机,"(40,0,0)","(5,0,0)",10,25,速效氮肥，比尿素温和，促进幼苗快速成长
nitrogen_compound,氮磷复合肥,无机,"(35,20,10)","(5,5,2)",14,60,同时提供氮磷，适合番茄、辣椒苗期
super_phosphate,过磷酸钙,无机,"(0,50,5)","(0,10,2)",15,50,促进根系和花芽形成
phosphate_fertilizer,高磷肥,无机,"(5,60,10)","(2,15,3)",20,80,促进开花，提高结果概率
potassium_sulfate,硫酸钾,无机,"(0,5,60)","(0,2,15)",15,70,促进果实膨大，提高甜度和品质
potassium_compound,高钾复合肥,无机,"(10,30,60)","(3,10,20)",25,120,果实类作物后期最佳肥料
npk_15,复合肥15-15-15,无机,"(35,35,35)","(8,8,8)",30,100,最通用肥料，一次施用覆盖完整周期
water_soluble,水溶肥,无机,"(40,30,40)","(10,8,10)",10,90,快速吸收，适合大棚和紧急补肥
calcium_fertilizer,硝酸钙,无机,"(15,0,5)","(3,0,1)",20,60,减少裂果，提高果实质量
chicken_manure,鸡粪肥,有机,"(35,15,20)","(5,3,5)",45,80,氮含量高，促进植株快速生长，适合瓜果类前期
cow_manure,牛粪肥,有机,"(20,20,20)","(5,5,5)",70,60,稳定释放，适合长期作物
sheep_manure,羊粪肥,有机,"(25,20,25)","(6,5,6)",60,75,养分均衡，适合水果和多年生植物
pig_manure,猪粪肥,有机,"(30,20,25)","(5,4,5)",50,70,综合肥力较强，适合蔬菜
compost,堆肥,有机,"(15,15,15)","(5,5,5)",90,50,最稳定基础肥，提高土地肥力
leaf_mold,腐叶土,有机,"(10,15,10)","(3,5,3)",120,40,改善土壤，降低肥力消耗
bean_cake,豆饼肥,有机,"(40,15,10)","(5,3,2)",60,90,高氮有机肥，适合叶菜
seaweed_fertilizer,海藻肥,有机,"(15,20,20)","(5,8,8)",45,100,促进抗逆和果实品质
fish_protein,鱼蛋白肥,有机,"(25,20,20)","(5,5,5)",50,110,促进成长，提高品质概率
humic_acid,腐植酸肥,有机,"(10,10,10)","(5,5,5)",100,80,提升土壤利用率，减少营养浪费
bio_fertilizer,微生物菌肥,有机,"(5,5,5)","(5,5,5)",120,120,增加土壤健康，降低病害概率
slow_release,缓释肥,有机,"(25,25,25)","(8,8,8)",120,150,一次施肥覆盖完整成长周期
